asset_id,asset_title,content_type,region,campaign,programme,product_name,asset_class,audience,primary_channel,owner_id,creation_date,publication_date,review_date,expiry_date,last_modified_date,content_status,language_code,accessibility_status,metadata_complete,source_url,duplicate_group_id,word_count
1,2026 Global Market Outlook,Report,Global,Market Outlook,Investor Education,Global Multi Asset Fund,Multi Asset,Institutional,Website,3,2025-11-10,2026-01-05,2026-06-30,2026-12-31,2026-01-04,Published,en,Compliant,1,https://example.com/assets/1,,4200
2,EMEA Retirement Readiness Guide,Guide,EMEA,Retirement Readiness,Investor Education,Retirement Solutions,Multi Asset,Retail,Website,1,2025-12-01,2026-01-18,2026-07-18,2027-01-18,2026-01-15,Published,en,Partially Compliant,1,https://example.com/assets/2,,2600
3,Advisor Portfolio Construction Toolkit,Toolkit,North America,Advisor Enablement,Advisor Education,Model Portfolios,Multi Asset,Financial Advisor,Partner Portal,2,2026-01-12,2026-02-02,2026-08-02,2027-02-02,2026-02-01,Published,en,Compliant,1,https://example.com/assets/3,,1800
4,Sustainable Investing Client Brochure,Brochure,EMEA,Sustainable Investing,Client Education,Sustainable Equity Fund,Equity,Retail,Website,7,2025-08-15,2025-09-01,2026-03-01,2026-09-01,2025-08-29,Published,en,Non-Compliant,0,https://example.com/assets/4,,950
5,Quarterly Fixed Income Commentary Q1 2026,Commentary,Global,Market Outlook,Investment Insights,Global Bond Fund,Fixed Income,Institutional,Email,3,2026-03-20,2026-04-05,2026-07-05,2026-10-05,2026-04-04,Published,en,Compliant,1,https://example.com/assets/5,,1450
6,Understanding Duration Risk,Article,North America,,Investor Education,Global Bond Fund,Fixed Income,Retail,Website,6,2025-10-10,2025-10-24,2026-04-24,2026-10-24,2025-10-22,Published,en,Compliant,0,https://example.com/assets/6,,1200
7,Global Equity Fund Factsheet April 2026,Factsheet,Global,Market Outlook,Product Education,Global Equity Fund,Equity,Institutional,Partner Portal,4,2026-04-01,2026-04-03,2026-05-03,2026-05-31,2026-04-03,Expired,en,Compliant,1,https://example.com/assets/7,,620
8,Global Equity Fund Factsheet May 2026,Factsheet,Global,Market Outlook,Product Education,Global Equity Fund,Equity,Institutional,Partner Portal,4,2026-05-01,2026-05-04,2026-06-04,2026-06-30,2026-05-04,Expired,en,Compliant,1,https://example.com/assets/8,,625
9,Global Equity Fund Factsheet June 2026,Factsheet,Global,Market Outlook,Product Education,Global Equity Fund,Equity,Institutional,Partner Portal,4,2026-06-01,2026-06-03,2026-07-03,2026-07-31,2026-06-03,Published,en,Compliant,1,https://example.com/assets/9,,630
10,Five Principles of Long Term Investing,Article,Global,Retirement Readiness,Investor Education,Retirement Solutions,Multi Asset,Retail,Website,5,2024-02-15,2024-03-01,2025-03-01,2025-09-01,2024-02-27,Expired,en,Partially Compliant,1,https://example.com/assets/10,,1350
11,Five Principles of Long-Term Investing,Article,Global,Retirement Readiness,Investor Education,Retirement Solutions,Multi Asset,Retail,Website,5,2024-02-18,2024-03-04,2025-03-04,2025-09-04,2024-03-01,Expired,en,Partially Compliant,1,https://example.com/assets/11,1001,1360
12,ESG Integration Framework,White Paper,EMEA,Sustainable Investing,Investment Insights,Sustainable Equity Fund,Equity,Institutional,Website,7,2025-06-12,2025-07-01,2026-01-01,2026-07-01,2025-06-29,Expired,en,Compliant,1,https://example.com/assets/12,,3100
13,Market Volatility Email Series Part 1,Email,North America,Market Outlook,Client Education,Global Multi Asset Fund,Multi Asset,Retail,Email,2,2026-02-10,2026-02-12,2026-08-12,2027-02-12,2026-02-11,Published,en,Not Assessed,1,https://example.com/assets/13,,480
14,Market Volatility Email Series Part 2,Email,North America,Market Outlook,Client Education,Global Multi Asset Fund,Multi Asset,Retail,Email,2,2026-02-17,2026-02-19,2026-08-19,2027-02-19,2026-02-18,Published,en,Not Assessed,1,https://example.com/assets/14,,505
15,Market Volatility Email Series Part 3,Email,North America,Market Outlook,Client Education,Global Multi Asset Fund,Multi Asset,Retail,Email,2,2026-02-24,,2026-08-26,2027-02-26,2026-02-25,Draft,en,Not Assessed,0,,,490
16,Retirement Income Webinar Landing Page,Landing Page,EMEA,Retirement Readiness,Investor Education,Retirement Solutions,Multi Asset,Retail,Website,1,2026-01-20,2026-02-01,2026-08-01,2026-04-30,2026-02-01,Expired,en,Non-Compliant,0,https://example.com/assets/16,,780
17,Institutional Investment Outlook Video,Video,Global,Market Outlook,Investment Insights,Global Multi Asset Fund,Multi Asset,Institutional,Video Platform,3,2026-03-02,2026-03-21,2026-09-21,2027-03-21,2026-03-18,Published,en,Partially Compliant,1,https://example.com/assets/17,,0
18,Advisor Conversation Guide,Guide,North America,Advisor Enablement,Advisor Education,Model Portfolios,Multi Asset,Financial Advisor,Partner Portal,2,2025-11-01,2025-11-15,2026-05-15,2026-11-15,2025-11-14,Published,en,Compliant,1,https://example.com/assets/18,,1550
19,European Equity Strategy Update,Commentary,EMEA,Market Outlook,Investment Insights,European Equity Fund,Equity,Institutional,Email,7,2026-04-14,2026-04-20,2026-07-20,2026-10-20,2026-04-19,Published,en,Compliant,1,https://example.com/assets/19,,1100
20,North America Income Fund Factsheet,Factsheet,North America,,Product Education,Income Fund,Fixed Income,Financial Advisor,Partner Portal,6,2026-05-01,2026-05-03,2026-06-03,2026-06-30,2026-05-03,Expired,en,Compliant,0,https://example.com/assets/20,,640
21,Global Investment Glossary,Glossary,Global,Investor Education,Investor Education,,Multi Asset,Retail,Website,5,2025-01-05,2025-02-01,2026-02-01,2027-02-01,2026-01-20,Published,en,Compliant,0,https://example.com/assets/21,,5200
22,Client Onboarding Checklist,Checklist,Global,Advisor Enablement,Client Education,Model Portfolios,Multi Asset,Financial Advisor,Partner Portal,9,2026-02-05,2026-02-12,2026-08-12,2027-02-12,2026-02-10,Published,en,Compliant,1,https://example.com/assets/22,,740
23,Responsible Investment Policy Summary,Summary,EMEA,Sustainable Investing,Client Education,Sustainable Equity Fund,Equity,Retail,Website,7,2025-09-01,2025-09-15,2026-03-15,2026-09-15,2025-09-14,Published,en,Partially Compliant,1,https://example.com/assets/23,,980
24,Investment Committee Monthly Pack,Presentation,Global,Market Outlook,Investment Insights,Global Multi Asset Fund,Multi Asset,Internal,Internal Portal,3,2026-06-01,2026-06-07,2026-07-07,2026-08-07,2026-06-07,Published,en,Not Assessed,1,https://example.com/assets/24,,2300
25,Fund Selector User Guide,Guide,Global,Advisor Enablement,Advisor Education,Model Portfolios,Multi Asset,Financial Advisor,Partner Portal,6,2025-04-10,2025-05-01,2025-11-01,2026-05-01,2025-04-29,Expired,en,Non-Compliant,1,https://example.com/assets/25,,2100
26,Emerging Markets Opportunity Article,Article,EMEA,Market Outlook,Investment Insights,Emerging Markets Equity Fund,Equity,Institutional,Website,7,2026-05-10,2026-05-18,2026-11-18,2027-05-18,2026-05-17,Published,en,Compliant,1,https://example.com/assets/26,,1650
27,Tax Efficient Investing FAQ,FAQ,North America,Advisor Enablement,Investor Education,Income Fund,Fixed Income,Retail,Website,2,2026-03-08,2026-03-15,2026-09-15,2027-03-15,2026-03-14,Published,en,Partially Compliant,1,https://example.com/assets/27,,1250
28,Portfolio Rebalancing Explainer,Infographic,Global,Investor Education,Investor Education,Model Portfolios,Multi Asset,Retail,Social Media,5,2026-04-01,2026-04-12,2026-10-12,2027-04-12,2026-04-10,Published,en,Non-Compliant,0,https://example.com/assets/28,,320
29,Quarterly Fixed Income Commentary Q2 2026,Commentary,Global,Market Outlook,Investment Insights,Global Bond Fund,Fixed Income,Institutional,Email,3,2026-06-18,2026-07-05,2026-10-05,2027-01-05,2026-07-04,Published,en,Compliant,1,https://example.com/assets/29,,1520
30,Legacy Product Microsite,Landing Page,EMEA,Legacy Campaign,Product Education,Legacy Balanced Fund,Multi Asset,Retail,Website,10,2022-01-10,2022-02-01,2023-02-01,2024-02-01,2023-01-20,Archived,en,Non-Compliant,0,https://example.com/assets/30,,900
