metric_id,asset_id,reporting_month,region,channel,impressions,views,unique_users,downloads,clicks,conversions,average_time_seconds,bounce_rate
1,1,2026-03-01,Global,Website,8557,2490,1735,177,812,106,217.9,26.0
2,1,2026-04-01,Global,Website,8148,2388,1626,264,224,13,168.2,47.1
3,1,2026-05-01,Global,Website,7707,4156,3518,170,782,105,104.8,29.2
4,1,2026-06-01,Global,Website,11598,4965,3207,265,1223,147,200.5,55.6
5,2,2026-03-01,EMEA,Website,8144,5767,4186,676,845,103,211.6,48.6
6,2,2026-04-01,EMEA,Website,9347,2805,1918,225,304,19,55.7,34.8
7,2,2026-05-01,EMEA,Website,9567,4214,3049,292,481,82,167.8,50.0
8,2,2026-06-01,EMEA,Website,7887,4738,3154,441,938,118,149.2,53.5
9,3,2026-03-01,North America,Partner Portal,5857,3639,2489,161,321,22,78.3,65.4
10,3,2026-04-01,North America,Partner Portal,6297,2635,2117,251,704,69,89.3,33.3
11,3,2026-05-01,North America,Partner Portal,5771,2283,1789,378,363,22,239.5,45.4
12,3,2026-06-01,North America,Partner Portal,4693,1411,918,180,470,43,48.0,39.6
13,4,2026-03-01,EMEA,Website,9984,5119,4565,821,260,35,174.8,46.7
14,4,2026-04-01,EMEA,Website,7491,4210,2741,424,510,88,214.5,34.1
15,4,2026-05-01,EMEA,Website,8962,3213,2813,520,478,60,159.8,29.0
16,4,2026-06-01,EMEA,Website,10679,5524,4629,631,267,20,39.0,64.7
17,5,2026-03-01,Global,Email,14272,9218,6508,26,1547,266,52.6,21.1
18,5,2026-04-01,Global,Email,9980,6134,5118,39,700,78,89.3,31.6
19,5,2026-05-01,Global,Email,12923,4822,3717,175,570,43,239.0,25.5
20,5,2026-06-01,Global,Email,13721,6966,4554,78,783,92,82.2,13.9
21,6,2026-03-01,North America,Website,6283,3503,2396,584,670,27,83.8,52.8
22,6,2026-04-01,North America,Website,7268,2458,2167,294,508,75,200.5,30.8
23,6,2026-05-01,North America,Website,7154,3359,2480,353,674,88,236.8,26.5
24,6,2026-06-01,North America,Website,8980,3855,3320,288,386,37,121.5,34.8
25,7,2026-03-01,Global,Partner Portal,4374,3001,2232,481,338,12,239.9,60.5
